id,version,deviceId,syncStatus,syncedAt,createdAt,updatedAt,pointNumber,worker,lat,lon,xLocal,yLocal,intensity,flowRate,waterColor,wall,domain,status,comment,photoUrls,monitoringDate,measureMethod,horizon,,
1774759704686-dskprsv-ny1h,5,dskprsv,synced,2026-04-17T04:51:15.012Z,2026-03-29T04:48:24.686Z,2026-04-17T04:51:15.012Z,13,Юкин Р.А.,"52,4746197","69,6832116","46426,3397","16257,4747",Умеренная,0,Прозрачная,Юго-западный,Domen-5,Активная,"Активная зона водопроявлений. Прослеживается по всему Юго-Западному борту. Произвести замер точек невозможен (Взорванный блок, отсутствие доступа). Наледь, борта обильно увлажнены, видимы водоприток присутствует.","[""https://drive.google.com/uc?export=view&id=1vmTuF0u8vufLcWUNVIbd2l9-3uIvwCLM""]",28.03.2026,Визуальный (примерный),260/215,,
1774760697981-dskprsv-m5dd,4,dskprsv,synced,2026-04-17T04:52:34.942Z,2026-03-29T05:04:57.981Z,2026-04-17T04:52:34.942Z,14,Юкин Р.А.,"52,475933","69,6827424","46393,0684","16403,6147",Слабая (капёж),"0,1",Прозрачная,Западный,Domen-5,Активная,,"[""https://drive.google.com/uc?export=view&id=1SmbubCMVN8Ml2qvI9Qs7eiDARqp6oMbu""]",28.03.2026,Объемным методом,210,,
1774760780272-dskprsv-tu04,2,dskprsv,synced,2026-04-17T04:52:10.912Z,2026-03-29T05:06:20.272Z,2026-04-17T04:52:10.912Z,15,Юкин Р.А.,"52,4764332","69,6832623","46427,8778","16459,2792",Слабая (капёж),"0,1",Прозрачная,Северо-западный,Domen-5,Активная,,"[""https://drive.google.com/uc?export=view&id=1S0Isoc1SE7gjgrtFk6LCyRilciiY_Z9l""]",28.03.2026,,210,,
1776335576849-dskprsv-cy74,3,dskprsv,synced,2026-04-16T10:38:54.155Z,2026-04-16T10:32:56.849Z,2026-04-16T10:38:54.155Z,10,Сейлханова Д.А,"52,4744404","69,6887164","46800,627","16237,5222",Умеренная,"0,38",Мутная,Юго-восточный,Domen-2,Активная,"В результате повышение температур наблюдается скопление воды на берме гор.+310/гор.+290, произошло перетекание воды на нижний горизонт, вследствие был замерен поток воды в точке наблюдения №10","[""https://drive.google.com/uc?export=view&id=1DrfFAQEiHM-t1ZLpjDmPTefvGnsWKFHl""]",2026-04-02,Визуальный (примерный),280,,
1776336302961-dskprsv-md0i,2,dskprsv,synced,2026-04-17T03:40:00.569Z,2026-04-16T10:45:02.961Z,2026-04-17T03:40:00.569Z,16,Сейлханова Д.А,"52,4774834","69,6843693","46501,9934","16576,1414",Умеренная,"0,43",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер произведен на +200 гор.","[""https://drive.google.com/uc?export=view&id=1txKRbf20ksmx3ovRNAcf6Q2ScU09egqO""]",2026-04-02,Объемным методом,220,,
1776336804496-dskprsv-uy76,2,dskprsv,synced,2026-04-17T03:40:25.870Z,2026-04-16T10:53:24.496Z,2026-04-17T03:40:25.870Z,17,Сейлханова Д.А,"52,4775766","69,684636","46520,0159","16586,517",Сильная (поток),"1,07",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1kP2fq4nUIQoeacPKkDaCoJ-EN0q_k-ir""]",2026-04-02,Объемным методом,220,,
1776336938783-dskprsv-z7rl,1,dskprsv,synced,2026-04-16T10:55:40.914Z,2026-04-16T10:55:38.783Z,2026-04-16T10:55:54.064Z,18,Сейлханова Д.А,"52,4775793","69,6852621","46562,5608","16586,8134",Умеренная,"0,4",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1bfJXpi8l7K7hT9mxDtqaWjdbolxfOhJs""]",2026-04-02,Объемным методом,220,,
1776337079987-dskprsv-n4cw,1,dskprsv,synced,2026-04-16T10:58:02.116Z,2026-04-16T10:57:59.987Z,2026-04-16T10:58:13.883Z,11,Сейлханова Д.А,"52,4775686","69,6857054","46592,6968","16585,6276",Умеренная,"0,75",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1rJBSj8GgilXF4AN7UjoGtjYj0W2VG6EJ""]",2026-04-02,Объемным методом,220,,
1776339839233-dskprsv-4m53,2,dskprsv,synced,2026-04-16T11:45:46.811Z,2026-04-16T11:43:59.233Z,2026-04-16T11:45:46.811Z,10,Сейлханова Д.А,"52,4744307","69,6887125","46800,3717","16236,4505",Слабая (капёж),,Прозрачная,Юго-восточный,Domen-2,Иссякает,"Замер водопритока не произвели так как наблюдается капеж. В результате повышения температуры наблюдается скопление воды на берме гор.+310/гор.+290, замер водопритока в точке наблюдения №10 не производился из-за отсутствия доступа после взрывных работ.","[""https://drive.google.com/uc?export=view&id=1ufuO20UoPusyblaf3pYbToCQEUAAUZdU""]",2026-04-09,Визуальный (примерный),280,,
1776340477964-dskprsv-3t5e,2,dskprsv,synced,2026-04-17T03:32:45.696Z,2026-04-16T11:54:37.964Z,2026-04-17T03:32:45.696Z,16,Сейлханова Д.А,"52,4775013","69,6843797","46502,6853","16578,1408",Умеренная,"0,25",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1lwTzrBHzGL0y-HY4EtK0fTjraoKtr5da""]",2026-04-09,Визуальный (примерный),220,,
1776340659996-dskprsv-9qts,3,dskprsv,synced,2026-04-17T03:33:57.851Z,2026-04-16T11:57:39.996Z,2026-04-17T03:33:57.851Z,17,Сейлханова Д.А,"52,4776057","69,6847773","46529,592","16589,7526",Слабая (капёж),"0,21",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1o2FH6pPnR5f8w4iJ9V9DyQu5klkbcpoZ""]",2026-04-09,Визуальный (примерный),220,,
1776341095888-dskprsv-75lt,2,dskprsv,synced,2026-04-17T03:34:27.706Z,2026-04-16T12:04:55.888Z,2026-04-17T03:34:27.706Z,18,Сейлханова Д.А,"52,4775762","69,6853271","46566,9843","16586,4709",Умеренная,"0,341",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1iIx5-E7Pw9a_6YKXyO8sYJlB8rodGTSh""]",2026-04-09,Визуальный (примерный),220,,
1776341241902-dskprsv-8jew,3,dskprsv,synced,2026-04-17T03:34:45.990Z,2026-04-16T12:07:21.902Z,2026-04-17T03:34:45.990Z,11,Сейлханова Д.А,"52,4775089","69,6860073","46613,2727","16578,9799",Умеренная,"0,538",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=11q4QPzqSVFzC3a7PvVnZ6nOE-T_qAOBf""]",2026-04-09,Визуальный (примерный),220,,
1776511272639-dskprsv-rak2,2,dskprsv,synced,2026-04-18T12:04:18.212Z,2026-04-18T11:21:12.639Z,2026-04-18T12:04:18.212Z,1,Юкин Р.А.,"52,4756978","69,6820592","46346,8875","16377,4493",Умеренная,"0,1",Прозрачная,Северо-западный,Domen-5,Активная,"Видимое водопроявление по гор. +260. Замер объемным методом не возможен, отсутствие доступа к точке","[""https://drive.google.com/uc?export=view&id=13UMi3pDuX4f7luU9fvCfersWJMCJEWTS""]",2026-04-18,Визуальный (примерный),260,,
1776514741503-dskprsv-3vb0,4,dskprsv,synced,2026-04-18T12:21:56.354Z,2026-04-18T12:19:01.503Z,2026-04-18T12:21:56.354Z,3(1),Юкин Р.А.,"52,4732099","69,687294","46705,2616","16100,597",Слабая (капёж),"0,005",Прозрачная,Южный,Domen-3,Активная,"Борт увлажнен, видимый водоприток - капёж/плоскостное растекание.","[""https://drive.google.com/uc?export=view&id=1-8qh1wZc_Dv-bxzNMoCcRjNBtG_uh3RZ""]",2026-04-18,Визуальный (примерный),310,,
1776515056228-dskprsv-buzo,1,dskprsv,synced,2026-04-18T12:24:17.844Z,2026-04-18T12:24:16.228Z,2026-04-18T12:24:29.034Z,3(2),Юкин Р.А.,"52,4733495","69,687673","46730,8757","16116,1314",Слабая (капёж),"0,005",Прозрачная,Южный,Domen-2,Активная,"Борт увлажнен, видимый водоприток - капёж/плоскостное растекание. Обильное скопление воды на берме.","[""https://drive.google.com/uc?export=view&id=1weMilJLH0-ECm62DG2wUo9BI9p_CD-CT""]",2026-04-18,Визуальный (примерный),310,,
1776515167638-dskprsv-jn82,1,dskprsv,synced,2026-04-18T12:26:09.332Z,2026-04-18T12:26:07.638Z,2026-04-18T12:26:22.925Z,3(3),Юкин Р.А.,"52,4735161","69,6880887","46758,9505","16134,6708",Слабая (капёж),"0,005",Прозрачная,Южный,Domen-2,Активная,"Борт увлажнен, видимый водоприток - капёж/плоскостное растекание. Обильное скопление воды на берме.","[""https://drive.google.com/uc?export=view&id=1Fo8PHUN5WkV9jLlaMRmUiOJjksJtoPs1""]",2026-04-18,Визуальный (примерный),310,,
1776515264699-dskprsv-l2wp,1,dskprsv,synced,2026-04-18T12:27:46.504Z,2026-04-18T12:27:44.699Z,2026-04-18T12:27:58.306Z,3(4),Юкин Р.А.,"52,4737234","69,6884261","46781,654","16157,7391",Слабая (капёж),"0,005",Прозрачная,Южный,Domen-2,Новая,"Борт увлажнен, видимый водоприток - капёж/плоскостное растекание. Обильное скопление воды на берме.","[""https://drive.google.com/uc?export=view&id=19lEZzH40Q9xTKUC0Gn7kOToat-Uwuzh0""]",2026-04-18,Визуальный (примерный),310,,
1776515535761-dskprsv-nv6n,1,dskprsv,synced,2026-04-18T12:32:17.494Z,2026-04-18T12:32:15.761Z,2026-04-18T12:32:28.343Z,3,Юкин Р.А.,"52,472819","69,6877015","46733,3731","16057,1034",Умеренная,"3,7",Прозрачная,Южный,Domen-2,Новая,"Видимое водопроявление. Замер объемным методом не возможен из-за отсутствия доступа к точке. Объем водопритока визуально не изменился, берется прошлое значение.","[""https://drive.google.com/uc?export=view&id=1Q6cEyjSz4NOKdTegkue7LXyI7zj2NyKP""]",2026-04-18,Визуальный (примерный),330,,
1776515850610-dskprsv-qron,1,dskprsv,synced,2026-04-18T12:37:32.938Z,2026-04-18T12:37:30.610Z,2026-04-18T12:37:47.396Z,15,Юкин Р.А.,"52,476562","69,6836068","46451,1476","16473,6183",Умеренная,"0,58",Прозрачная,Северо-западный,Domen-5,Активная,Активная зона. Замеры производились в нескольких точках. Характер водопроявления - плоскостное. Борт увлажнен.,"[""https://drive.google.com/uc?export=view&id=1bobi9stGvEDq7dQRGYW9ibHyNYWOoAo2""]",2026-04-18,Объемным методом,200,,
1776516070882-dskprsv-vndy,1,dskprsv,synced,2026-04-18T12:41:13.386Z,2026-04-18T12:41:10.882Z,2026-04-18T12:41:26.199Z,14,Юкин Р.А.,"52,4761004","69,6830848","46416,1655","16422,2472",Умеренная,"0,41",Прозрачная,Северо-западный,Domen-5,Активная,Активная зона. Замер объемным методом не возможен. Характер водопроявления - плоскостное/капёж. Борт увлажнен.,"[""https://drive.google.com/uc?export=view&id=1gA9plEl072c7Wrw8BKAy6TRhruaLYt-C""]",2026-04-18,Geopacks,200,,
1776516361312-dskprsv-s7s7,2,dskprsv,synced,2026-04-18T04:30:39.861Z,2026-04-18T12:46:01.312Z,2026-04-18T04:30:39.861Z,20,Юкин Р.А.,"52,4756743","69,6825883","46382,8702","16374,8319",Сильная (поток),"1,68",Прозрачная,Западный,Domen-5,Активная,Активная зона. Ранее не фиксировалась из-за отсутствия доступа. Водоприток распространяется на гор. + 240-210. Основной источник проявляется на + 240гор. Замерялся в нескольких точках,"[""https://drive.google.com/uc?export=view&id=13qqTcmzD3tRnebcj2TH6gCr9hjmSi3Ey""]",2026-04-18,Объемным методом,210,,
1776516637211-dskprsv-2nzb,3,dskprsv,synced,2026-04-18T04:32:54.624Z,2026-04-18T12:50:37.211Z,2026-04-18T04:32:54.624Z,21,Юкин Р.А.,"52,4748241","69,6826618","46388,7591","16280,2175",Умеренная,"0,34",Прозрачная,Юго-западный,Domen-5,Активная,Активная зона. Ранее не фиксировалась из-за отсутствия доступа. Водоприток распространяется на гор. + 240-200. Основной источник проявляется на + 240гор.,"[""https://drive.google.com/uc?export=view&id=1ovSZQrmjzMzqKmqYh9G57yGC6VmC_ifR""]",2026-04-18,Объемным методом,240,,
1776516816622-dskprsv-3ky3,4,dskprsv,synced,2026-04-18T04:32:31.339Z,2026-04-18T12:53:36.622Z,2026-04-18T04:32:31.339Z,22,Юкин Р.А.,"52,4746938","69,6829085","46405,6633","16265,7287",Умеренная,"1,27",Прозрачная,Юго-западный,Domen-5,Активная,Активная зона. Ранее не фиксировалась из-за отсутствия доступа. Водоприток распространяется на гор. + 240-200. Основной источник проявляется на + 230 гор. Замерялся в нескольких точках.,"[""https://drive.google.com/uc?export=view&id=1T8T3o1VbFWAfNMJJaA5ZYLV-ewWbzp2o""]",2026-04-18,Объемным методом,230,,
1776517075777-dskprsv-d2lp,3,dskprsv,synced,2026-04-18T04:31:54.522Z,2026-04-18T12:57:55.777Z,2026-04-18T04:31:54.522Z,23,Юкин Р.А.,"52,4746799","69,6838068","46466,7222","16264,1737",Умеренная,"0,5",Прозрачная,Юго-западный,Domen-5,Активная,Активная зона. Ранее не фиксировалась из-за отсутствия доступа. Водоприток распространяется на гор. + 230-200. Основной источник проявляется на + 225гор. Замер объемным методом не возможен - плоскостной распространение.,"[""https://drive.google.com/uc?export=view&id=1QKYYaQFsqAgW0SSZICUSJkx7LW5j7jKq""]",2026-04-18,Визуальный (примерный),230,,
1776517319596-dskprsv-u4cb,3,dskprsv,synced,2026-04-18T03:31:58.645Z,2026-04-18T13:01:59.596Z,2026-04-18T03:31:58.645Z,11,Юкин Р.А.,"52,4774982","69,6861447","46622,6248","16577,7941",Умеренная,"1,24",Прозрачная,Северный,Domen-5,Активная,"Выклинивание подземных вод имеет плоскостное растекание, что не позволяет полноценно произвести замеры. Основное выклинивание вод располагается на +220 гор. с последующим растеканием на нижележащие. Замер на +200 гор.","[""https://drive.google.com/uc?export=view&id=1y8YsLHsi3PzMqVtnoJJKkOP9AdD2AFbZ""]",2026-04-18,Визуальный (примерный),210,,
1776517508077-dskprsv-9qvt,6,dskprsv,synced,2026-04-18T03:31:00.496Z,2026-04-18T13:05:08.077Z,2026-04-18T03:31:00.496Z,18,Юкин Р.А.,"52,4762031","69,6847268","46551,2802","16580,547",Умеренная,"0,37",Прозрачная,Северный,Domen-5,Активная,Выклинивание подземных вод имеет плоскостное растекание. Замер производился в нескольких точках. Борта обильно увлажнены,"[""https://drive.google.com/uc?export=view&id=179ulW3aKd05dIiubxLBo3-7acWwoNsbC""]",2026-04-18,Объемным методом,210,,
1776517841299-dskprsv-cziu,2,dskprsv,synced,2026-04-18T13:19:30.321Z,2026-04-18T13:10:41.299Z,2026-04-18T13:19:30.321Z,17,Юкин Р.А.,"52,4774593","69,6847267","46526,304","16573,4603",Сильная (поток),"0,84",Прозрачная,Северный,Domen-5,Активная,"Активный поток воды с +220 гор. - Разлом. Замер производился в нескольких точках. Образование сточных канав, скопление воды на берме.","[""https://drive.google.com/uc?export=view&id=1XAqa6KZqWfgqoRBV_72zwNQqlJ2Gk9ze""]",2026-04-18,Объемным методом,220,,
1776518294839-dskprsv-zoao,3,dskprsv,synced,2026-04-18T09:48:41.985Z,2026-04-18T13:18:14.839Z,2026-04-18T09:48:41.985Z,16,Юкин Р.А.,"52,477358","69,6844327","46506,4352","16562,1922",Очень сильная,"5,01",Прозрачная,Северный,Domen-5,Активная,"Активный поток воды с +210 гор. - Разлом. Замер производился на +200 гор. в нескольких точках. Образование сточных канав, скопление воды на берме.","[""https://drive.google.com/uc?export=view&id=1jJkcOznMHw62o_WvXSZsq1bgMOuL_cdN""]",2026-04-18,Объемным методом,210,,
1776518605302-dskprsv-3a08,2,dskprsv,synced,2026-04-18T04:31:02.981Z,2026-04-18T13:23:25.302Z,2026-04-18T04:31:02.981Z,24,Юкин Р.А.,"52,4758375","69,6884201","46779,0051","16392,991",Умеренная,1,Прозрачная,Северо-восточный,Domen-3,Активная,"Водопроявление прослеживается по всему Северо-воточному углу от +260 до + 220 гор. Характер распространения - площадное растекание. Основной объем водопритока прослеживается с + 240гор. а так же 2х действующих горизонтальных скважин. Замер произвести не возможно, рассчитан примерно (визуально).","[""https://drive.google.com/uc?export=view&id=1qnu2ShJWNEVn8xt-o2lpFRJGM8Es67MJ""]",2026-04-18,Визуальный (примерный),240,,
1776519063082-dskprsv-s0r1,,dskprsv,synced,2026-04-18T13:31:05.336Z,2026-04-18T13:31:03.082Z,2026-04-18T13:31:05.336Z,8,Юкин Р.А.,"52,4779059","69,6887351","46798,2168","16623,165",Слабая (капёж),"0,05",Прозрачная,Северо-восточный,Domen-1,Иссякает,,[],2026-04-18,Визуальный (примерный),280,,
1776519256584-dskprsv-9rnz,1,dskprsv,synced,2026-04-18T13:34:18.309Z,2026-04-18T13:34:16.584Z,2026-04-18T13:34:32.273Z,7,Юкин Р.А.,"52,4785983","69,6874996","46713,5275","16700,208",Слабая (капёж),"0,05",Прозрачная,Северный,Domen-1,Иссякает,,"[""https://drive.google.com/uc?export=view&id=1pRhYhQo8Ny45w1HKGr8r2X3p9zbkpoGa""]",2026-04-18,Визуальный (примерный),280,,
1776525583152-dskprsv-wknk,1,dskprsv,synced,2026-04-18T15:19:45.756Z,2026-04-18T15:19:43.152Z,2026-04-18T15:19:58.763Z,10,Юкин Р.А.,"52,4744289","69,688722","46801,0175","16236,2499",Слабая (капёж),"0,05",Прозрачная,Юго-восточный,Domen-2,Иссякает,В данной точке ранее фиксировался перелив с +310 гор. На данный момент видимый приток характеризуется капежом и плоскостным растеканием. Замер не возможен. Скопления воды не прослеживается,"[""https://drive.google.com/uc?export=view&id=1Q0FYr8c3O8tWLKh9JVC-L6Rs1H7FXOMP""]",2026-04-18,Визуальный (примерный),280,,
1776525835496-dskprsv-zfx5,1,dskprsv,synced,2026-04-18T15:23:57.090Z,2026-04-18T15:23:55.496Z,2026-04-18T15:24:10.028Z,25,Юкин Р.А.,"52,4746371","69,6891281","46828,3981","16259,4153",Слабая (капёж),"0,05",Прозрачная,Юго-восточный,Domen-2,Новая,"Водоприток с разлома. Капёж, плоскостное растекание. Замер не возможен.","[""https://drive.google.com/uc?export=view&id=1Cv9mC8uPmmmjAVlDP-bcPrVxyJDSa0he""]",2026-04-18,Визуальный (примерный),280,,
1776526072856-dskprsv-5vz7,1,dskprsv,synced,2026-04-18T15:27:54.452Z,2026-04-18T15:27:52.856Z,2026-04-18T15:28:05.998Z,26,Юкин Р.А.,"52,4749279","69,6896873","46866,09","16291,7714",Слабая (капёж),"0,01",Прозрачная,Юго-восточный,Domen-2,Новая,Видимое водопроявление в виде капежа с трещин клиновидного участка обрушения. Замер не возможен. Незначительная увлажнённость откоса.,"[""https://drive.google.com/uc?export=view&id=1oK55P3Z4VPAt0D8hv-HHgX1MZ1SJwEU-""]",2026-04-18,Визуальный (примерный),280,,
1776591913390-mobaind-1b09,3,mobaind,synced,2026-04-18T03:31:20.489Z,2026-04-18T09:45:13.390Z,2026-04-18T03:31:20.489Z,18(1),Юкин Р.А.,"52,4758284","69,6844231","46568,3243","16580,4519",Умеренная,"0,44",Прозрачная,Северный,Domen-5,Активная,,"[""https://drive.google.com/uc?export=view&id=1CAwbP1OCHKPij4w2SODVRrPJAnDp9dME""]",2026-04-18,Объемным методом,210,,
1776592700315-mobaind-stz1,3,mobaind,synced,2026-04-18T11:57:36.492Z,2026-04-18T09:58:20.314Z,2026-04-18T11:57:36.492Z,27,Юкин Р.А.,"52,474851","69,6839761","46527,0605","16440,9267",Сильная (поток),"3,284",Прозрачная,Северный,Domen-5,Активная,"Обильный водоприток. С трещин, вымывает заполнитель. Питание за счёт разгрузки точек #16 и #17 расположенных выше с образованием обильного скопления воды на берме и стоковой канавы по направлению к данной точке.","[""https://drive.google.com/uc?export=view&id=1XZ5r1cmf0_rubkACAmL_kILCC_LfTbVp""]",2026-04-18,Объемным методом,185,,
1776593096521-mobaind-yxjk,7,mobaind,synced,2026-04-18T11:59:56.783Z,2026-04-18T10:04:56.521Z,2026-04-18T11:59:56.783Z,28,Юкин Р.А.,"52,47474","69,6861264","46686,5143","16468,1183",Слабая (капёж),"0,12",Прозрачная,Восточный,Domen-5,Новая,,"[""https://drive.google.com/uc?export=view&id=1_1lEuF9NNTkZO1F6OseNSZcN_k8ws5_v""]",2026-04-18,Объемным методом,185,,
